train,train_label,val,val_label,test,test_label
tumor_082,1,normal_116,0,test_001,1.0
tumor_061,1,normal_022,0,test_002,1.0
normal_141,0,tumor_012,1,test_003,0.0
normal_062,0,tumor_085,1,test_004,1.0
tumor_071,1,normal_026,0,test_005,0.0
tumor_080,1,normal_043,0,test_006,0.0
normal_029,0,tumor_057,1,test_007,0.0
normal_076,0,tumor_067,1,test_008,1.0
normal_050,0,normal_056,0,test_009,0.0
tumor_079,1,tumor_026,1,test_010,1.0
normal_018,0,normal_121,0,test_011,1.0
normal_132,0,normal_100,0,test_012,0.0
normal_027,0,tumor_008,1,test_013,1.0
normal_047,0,normal_085,0,test_014,0.0
normal_101,0,tumor_024,1,test_015,0.0
normal_054,0,normal_038,0,test_016,1.0
tumor_039,1,tumor_110,1,test_017,0.0
normal_041,0,normal_091,0,test_018,0.0
normal_106,0,normal_142,0,test_019,0.0
normal_052,0,tumor_030,1,test_020,0.0
normal_145,0,tumor_013,1,test_021,1.0
normal_119,0,tumor_094,1,test_022,0.0
tumor_088,1,normal_138,0,test_023,0.0
normal_095,0,normal_099,0,test_024,0.0
tumor_001,1,normal_103,0,test_025,0.0
normal_117,0,normal_147,0,test_026,1.0
normal_097,0,tumor_059,1,test_027,1.0
tumor_091,1,tumor_009,1,test_028,0.0
normal_035,0,normal_129,0,test_029,1.0
tumor_058,1,tumor_040,1,test_030,1.0
tumor_042,1,normal_007,0,test_031,0.0
normal_153,0,tumor_028,1,test_032,0.0
tumor_018,1,tumor_104,1,test_033,1.0
normal_151,0,tumor_066,1,test_034,0.0
tumor_063,1,normal_136,0,test_035,0.0
normal_040,0,tumor_098,1,test_036,0.0
normal_104,0,normal_049,0,test_037,0.0
normal_098,0,tumor_084,1,test_038,1.0
tumor_033,1,tumor_101,1,test_039,0.0
tumor_078,1,normal_084,0,test_040,1.0
tumor_108,1,tumor_051,1,test_041,0.0
normal_078,0,tumor_043,1,test_042,0.0
tumor_011,1,tumor_090,1,test_043,0.0
normal_025,0,normal_057,0,test_044,0.0
normal_055,0,tumor_049,1,test_045,0.0
normal_020,0,normal_092,0,test_046,1.0
tumor_020,1,normal_004,0,test_047,0.0
normal_051,0,tumor_005,1,test_048,1.0
normal_024,0,normal_080,0,test_050,0.0
normal_002,0,tumor_072,1,test_051,1.0
normal_089,0,normal_061,0,test_052,1.0
normal_046,0,normal_090,0,test_053,0.0
tumor_093,1,tumor_083,1,test_054,0.0
tumor_002,1,normal_067,0,test_055,0.0
